game_uid,sequence,winner_side,winner
s9dg62VQIM_R01-M001_G2,"blue_ban_Angela,red_ban_Kadita,blue_ban_Edith,red_ban_Fanny,blue_ban_Uranus,red_ban_Paquito,blue_ban_Joy,red_ban_Harith,blue_ban_Grock,red_ban_Wanwan,blue_pick_Arlott,red_pick_Yu Zhong,red_pick_Baxia,blue_pick_Ling,blue_pick_Pharsa,red_pick_Valentina,red_pick_Claude,blue_pick_Beatrix,blue_pick_Hilda,red_pick_Chou",blue,1
s9dg62VQIM_R01-M002_G1,"blue_ban_Valentina,red_ban_Angela,blue_ban_Kadita,red_ban_Melissa,blue_ban_Claude,red_ban_Paquito,blue_ban_Ling,red_ban_Dyrroth,blue_ban_Harith,red_ban_Franco,blue_pick_Ruby,red_pick_Uranus,red_pick_Baxia,blue_pick_Joy,blue_pick_Khufra,red_pick_Yve,red_pick_Brody,blue_pick_Beatrix,blue_pick_Faramis,red_pick_Kaja",red,0
s9dg62VQIM_R01-M002_G2,"blue_ban_Angela,red_ban_Valentina,blue_ban_Melissa,red_ban_Claude,blue_ban_Paquito,red_ban_Yve,blue_ban_Franco,red_ban_Martis,blue_ban_Wanwan,red_ban_Fredrinn,blue_pick_Dyrroth,red_pick_Uranus,red_pick_Fanny,blue_pick_Karina,blue_pick_Pharsa,red_pick_Faramis,red_pick_Beatrix,blue_pick_Brody,blue_pick_Kaja,red_pick_Atlas",red,0
s9dg62VQIM_R01-M002_G3,"blue_ban_Valentina,red_ban_Angela,blue_ban_Claude,red_ban_Melissa,blue_ban_Yve,red_ban_Faramis,blue_ban_Dyrroth,red_ban_Pharsa,blue_ban_Baxia,red_ban_Wanwan,blue_pick_Uranus,red_pick_Paquito,red_pick_Ling,blue_pick_Fanny,blue_pick_Novaria,red_pick_Kadita,red_pick_Brody,blue_pick_Beatrix,blue_pick_Kaja,red_pick_Franco",red,0
s9dg62VQIM_R02-M001_G1,"blue_ban_Uranus,red_ban_Kadita,blue_ban_Yve,red_ban_Fanny,blue_ban_Martis,red_ban_Ling,blue_ban_Wanwan,red_ban_Faramis,blue_ban_Baxia,red_ban_Paquito,blue_pick_Masha,red_pick_Arlott,red_pick_Karina,blue_pick_Fredrinn,blue_pick_Novaria,red_pick_Valentina,red_pick_Karrie,blue_pick_Claude,blue_pick_Kaja,red_pick_Franco",blue,1
s9dg62VQIM_R02-M001_G2,"blue_ban_Uranus,red_ban_Kadita,blue_ban_Yve,red_ban_Ling,blue_ban_Martis,red_ban_Fanny,blue_ban_Franco,red_ban_Masha,blue_ban_Esmeralda,red_ban_Terizla,blue_pick_Arlott,red_pick_Gloo,red_pick_Fredrinn,blue_pick_Joy,blue_pick_Angela,red_pick_Valentina,red_pick_Karrie,blue_pick_Claude,blue_pick_Kaja,red_pick_Lolita",blue,1
s9dg62VQIM_R02-M002_G1,"blue_ban_Faramis,red_ban_Franco,blue_ban_Joy,red_ban_Kaja,blue_ban_Angela,red_ban_Yve,blue_ban_Dyrroth,red_ban_Khufra,blue_ban_Harith,red_ban_Chou,blue_pick_Paquito,red_pick_Uranus,red_pick_Ling,blue_pick_Akai,blue_pick_Valentina,red_pick_Kadita,red_pick_Claude,blue_pick_Karrie,blue_pick_Minotaur,red_pick_Grock",blue,1
s9dg62VQIM_R02-M002_G2,"blue_ban_Joy,red_ban_Franco,blue_ban_Kadita,red_ban_Kaja,blue_ban_Paquito,red_ban_Yve,blue_ban_Brody,red_ban_Martis,blue_ban_Dyrroth,red_ban_Baxia,blue_pick_Uranus,red_pick_Terizla,red_pick_Fanny,blue_pick_Fredrinn,blue_pick_Angela,red_pick_Valentina,red_pick_Beatrix,blue_pick_Claude,blue_pick_Chou,red_pick_Minotaur",red,0
s9dg62VQIM_R02-M003_G1,"blue_ban_Diggie,red_ban_Kadita,blue_ban_Uranus,red_ban_Yve,blue_ban_Angela,red_ban_Fredrinn,blue_ban_Kaja,red_ban_Karina,blue_ban_Fanny,red_ban_Ling,blue_pick_Terizla,red_pick_Arlott,red_pick_Hayabusa,blue_pick_Joy,blue_pick_Valentina,red_pick_Pharsa,red_pick_Claude,blue_pick_Karrie,blue_pick_Minotaur,red_pick_Khufra",red,0
s9dg62VQIM_R02-M003_G2,"blue_ban_Kadita,red_ban_Diggie,blue_ban_Yve,red_ban_Claude,blue_ban_Uranus,red_ban_Faramis,blue_ban_Ling,red_ban_Khufra,blue_ban_Hayabusa,red_ban_Franco,blue_pick_Terizla,red_pick_Yu Zhong,red_pick_Fredrinn,blue_pick_Fanny,blue_pick_Valentina,red_pick_Pharsa,red_pick_Brody,blue_pick_Karrie,blue_pick_Grock,red_pick_Kaja",red,0
s9dg62VQIM_R02-M003_G3,"blue_ban_Diggie,red_ban_Kadita,blue_ban_Fanny,red_ban_Yve,blue_ban_Claude,red_ban_Valentina,blue_ban_Harith,red_ban_Uranus,blue_ban_Wanwan,red_ban_Hayabusa,blue_pick_Yu Zhong,red_pick_Terizla,red_pick_Ling,blue_pick_Fredrinn,blue_pick_Pharsa,red_pick_Novaria,red_pick_Karrie,blue_pick_Beatrix,blue_pick_Khufra,red_pick_Kaja",blue,1
s9dg62VQIM_R02-M004_G1,"blue_ban_Ling,red_ban_Yve,blue_ban_Faramis,red_ban_Uranus,blue_ban_Melissa,red_ban_Martis,blue_ban_Kadita,red_ban_Arlott,blue_ban_Angela,red_ban_Esmeralda,blue_pick_Fredrinn,red_pick_Paquito,red_pick_Baxia,blue_pick_Joy,blue_pick_Pharsa,red_pick_Valentina,red_pick_Claude,blue_pick_Beatrix,blue_pick_Kaja,red_pick_Franco",red,0
s9dg62VQIM_R02-M004_G2,"blue_ban_Ling,red_ban_Yve,blue_ban_Joy,red_ban_Uranus,blue_ban_Melissa,red_ban_Arlott,blue_ban_Baxia,red_ban_Esmeralda,blue_ban_Beatrix,red_ban_Masha,blue_pick_Terizla,red_pick_X.Borg,red_pick_Paquito,blue_pick_Martis,blue_pick_Angela,red_pick_Valentina,red_pick_Wanwan,blue_pick_Claude,blue_pick_Khufra,red_pick_Franco",red,0
s9dg62VQIM_R03-M001_G1,"blue_ban_Paquito,red_ban_Paquito,blue_ban_Franco,red_ban_Kaja,blue_ban_Fanny,red_ban_Uranus,blue_ban_Ling,red_ban_Chou,blue_ban_Hayabusa,red_ban_Lesley,blue_pick_Joy,red_pick_Khaleed,red_pick_Fredrinn,blue_pick_Baxia,blue_pick_Yve,red_pick_Valentina,red_pick_Claude,blue_pick_Beatrix,blue_pick_Minotaur,red_pick_Angela",red,0
s9dg62VQIM_R03-M001_G2,"blue_ban_Karrie,red_ban_Kadita,blue_ban_Wanwan,red_ban_Kaja,blue_ban_Fanny,red_ban_Uranus,blue_ban_Claude,red_ban_Yu Zhong,blue_ban_Paquito,red_ban_Arlott,blue_pick_Fredrinn,red_pick_Grock,red_pick_Joy,blue_pick_Ling,blue_pick_Yve,red_pick_Valentina,red_pick_Melissa,blue_pick_Beatrix,blue_pick_Khufra,red_pick_Franco",red,0
s9dg62VQIM_R04-M001_G1,"blue_ban_Kadita,red_ban_Joy,blue_ban_Ling,red_ban_Minotaur,blue_ban_Yve,red_ban_Valentina,blue_ban_Terizla,red_ban_Akai,blue_ban_Masha,red_ban_Martis,blue_pick_Paquito,red_pick_Arlott,red_pick_Fanny,blue_pick_Fredrinn,blue_pick_Faramis,red_pick_Pharsa,red_pick_Claude,blue_pick_Beatrix,blue_pick_Kaja,red_pick_Khufra",blue,1
s9dg62VQIM_R04-M001_G2,"blue_ban_Kadita,red_ban_Joy,blue_ban_Ling,red_ban_Minotaur,blue_ban_Yve,red_ban_Valentina,blue_ban_Pharsa,red_ban_Atlas,blue_ban_Masha,red_ban_Claude,blue_pick_Paquito,red_pick_Fredrinn,red_pick_Fanny,blue_pick_Akai,blue_pick_Faramis,red_pick_Novaria,red_pick_Melissa,blue_pick_Brody,blue_pick_Grock,red_pick_Kaja",red,0
s9dg62VQIM_R04-M001_G3,"blue_ban_Kadita,red_ban_Minotaur,blue_ban_Fanny,red_ban_Valentina,blue_ban_Kaja,red_ban_Joy,blue_ban_Hilda,red_ban_Melissa,blue_ban_Beatrix,red_ban_Yve,blue_pick_Terizla,red_pick_Masha,red_pick_Paquito,blue_pick_Ling,blue_pick_Fredrinn,red_pick_Faramis,red_pick_Harith,blue_pick_Clint,blue_pick_Angela,red_pick_Arlott",blue,1
s9dg62VQIM_R04-M001_G4,"blue_ban_Kadita,red_ban_Joy,blue_ban_Fanny,red_ban_Minotaur,blue_ban_Kaja,red_ban_Ling,blue_ban_Martis,red_ban_Grock,blue_ban_Khufra,red_ban_Hayabusa,blue_pick_Terizla,red_pick_Masha,red_pick_Fredrinn,blue_pick_Baxia,blue_pick_Valentina,red_pick_Yve,red_pick_Claude,blue_pick_Beatrix,blue_pick_Angela,red_pick_Novaria",red,0
s9dg62VQIM_R04-M001_G5,"blue_ban_Kadita,red_ban_Joy,blue_ban_Kaja,red_ban_Minotaur,blue_ban_Fanny,red_ban_Ling,blue_ban_Paquito,red_ban_Wanwan,blue_ban_Novaria,red_ban_Baxia,blue_pick_Uranus,red_pick_Dyrroth,red_pick_Lancelot,blue_pick_Hayabusa,blue_pick_Valentina,red_pick_Yve,red_pick_Claude,blue_pick_Clint,blue_pick_Angela,red_pick_Franco",red,0
s9dg62VQIM_R04-M002_G1,"blue_ban_Kaja,red_ban_Ling,blue_ban_Yve,red_ban_Minotaur,blue_ban_Paquito,red_ban_Joy,blue_ban_Masha,red_ban_Beatrix,blue_ban_Faramis,red_ban_Wanwan,blue_pick_Terizla,red_pick_X.Borg,red_pick_Fredrinn,blue_pick_Martis,blue_pick_Valentina,red_pick_Kadita,red_pick_Claude,blue_pick_Karrie,blue_pick_Franco,red_pick_Angela",red,0
s9dg62VQIM_R04-M002_G2,"blue_ban_Kaja,red_ban_Joy,blue_ban_Angela,red_ban_Minotaur,blue_ban_Fredrinn,red_ban_Ling,blue_ban_Karrie,red_ban_Kadita,blue_ban_Grock,red_ban_Faramis,blue_pick_Lapu-Lapu,red_pick_Paquito,red_pick_Baxia,blue_pick_Fanny,blue_pick_Pharsa,red_pick_Valentina,red_pick_Wanwan,blue_pick_Claude,blue_pick_Khufra,red_pick_Franco",red,0
s9dg62VQIM_R04-M002_G3,"blue_ban_Kaja,red_ban_Joy,blue_ban_Yve,red_ban_Minotaur,blue_ban_Franco,red_ban_Ling,blue_ban_Wanwan,red_ban_Fanny,blue_ban_Dyrroth,red_ban_Lancelot,blue_pick_Arlott,red_pick_Paquito,red_pick_Baxia,blue_pick_Fredrinn,blue_pick_Faramis,red_pick_Valentina,red_pick_Brody,blue_pick_Claude,blue_pick_Angela,red_pick_Grock",red,0
s9dg62VQIM_R05-M001_G1,"blue_ban_Kadita,red_ban_Joy,blue_ban_Fanny,red_ban_Paquito,blue_ban_Ling,red_ban_Angela,blue_ban_Lancelot,red_ban_Grock,blue_ban_Baxia,red_ban_Dyrroth,blue_pick_Fredrinn,red_pick_Uranus,red_pick_Hayabusa,blue_pick_Alice,blue_pick_Yve,red_pick_Valentina,red_pick_Wanwan,blue_pick_Claude,blue_pick_Floryn,red_pick_Kaja",red,0
s9dg62VQIM_R05-M001_G2,"blue_ban_Paquito,red_ban_Fanny,blue_ban_Angela,red_ban_Ling,blue_ban_Valentina,red_ban_Kadita,blue_ban_Yve,red_ban_Franco,blue_ban_Lancelot,red_ban_Khufra,blue_pick_Uranus,red_pick_Dyrroth,red_pick_Hayabusa,blue_pick_Joy,blue_pick_Faramis,red_pick_Lylia,red_pick_Claude,blue_pick_Beatrix,blue_pick_Grock,red_pick_Kaja",blue,1
s9dg62VQIM_R05-M001_G3,"blue_ban_Kadita,red_ban_Paquito,blue_ban_Fanny,red_ban_Joy,blue_ban_Ling,red_ban_Angela,blue_ban_Khufra,red_ban_Wanwan,blue_ban_Hilda,red_ban_Melissa,blue_pick_Dyrroth,red_pick_Uranus,red_pick_Bane,blue_pick_Lancelot,blue_pick_Valentina,red_pick_Yve,red_pick_Claude,blue_pick_Clint,blue_pick_Franco,red_pick_Chou",red,0
s9dg62VQIM_R05-M001_G4,"blue_ban_Paquito,red_ban_Kadita,blue_ban_Angela,red_ban_Faramis,blue_ban_Valentina,red_ban_Uranus,blue_ban_Grock,red_ban_Harith,blue_ban_Baxia,red_ban_Masha,blue_pick_Terizla,red_pick_Fredrinn,red_pick_Ling,blue_pick_Fanny,blue_pick_Pharsa,red_pick_Yve,red_pick_Beatrix,blue_pick_Claude,blue_pick_Kaja,red_pick_Khufra",blue,1
ttIYcr9Hpp_0001_G1,"blue_ban_Angela,red_ban_Harith,blue_ban_X.Borg,red_ban_Fredrinn,blue_ban_Barats,red_ban_Mathilda,blue_ban_Minotaur,red_ban_Claude,blue_ban_Hanzo,red_ban_Valentina,blue_pick_Yu Zhong,red_pick_Terizla,red_pick_Akai,blue_pick_Baxia,blue_pick_Lunox,red_pick_Luo Yi,red_pick_Roger,blue_pick_Karrie,blue_pick_Chip,red_pick_Carmilla",blue,1
ttIYcr9Hpp_0001_G2,"blue_ban_Angela,red_ban_Harith,blue_ban_Luo Yi,red_ban_Chip,blue_ban_Roger,red_ban_Mathilda,blue_ban_Barats,red_ban_Claude,blue_ban_Baxia,red_ban_Vexana,blue_pick_Terizla,red_pick_Yu Zhong,red_pick_Carmilla,blue_pick_Fredrinn,blue_pick_Novaria,red_pick_Pharsa,red_pick_Natan,blue_pick_Brody,blue_pick_Minotaur,red_pick_Guinevere",red,0
ttIYcr9Hpp_0002_G1,"blue_ban_Angela,red_ban_Minotaur,blue_ban_Luo Yi,red_ban_Fredrinn,blue_ban_Roger,red_ban_Moskov,blue_ban_Lancelot,red_ban_Barats,blue_ban_Masha,red_ban_Faramis,blue_pick_Terizla,red_pick_Minsitthar,red_pick_Harley,blue_pick_Baxia,blue_pick_Pharsa,red_pick_Lylia,red_pick_Hanabi,blue_pick_Harith,blue_pick_Mathilda,red_pick_Tigreal",blue,1
ttIYcr9Hpp_0002_G2,"blue_ban_Fredrinn,red_ban_Angela,blue_ban_Minotaur,red_ban_Luo Yi,blue_ban_Baxia,red_ban_Roger,blue_ban_Alice,red_ban_Minsitthar,blue_ban_Moskov,red_ban_Lancelot,blue_pick_X.Borg,red_pick_Terizla,red_pick_Barats,blue_pick_Harley,blue_pick_Lylia,red_pick_Valentina,red_pick_Irithel,blue_pick_Hanabi,blue_pick_Tigreal,red_pick_Chip",red,0
ttIYcr9Hpp_0003_G1,"blue_ban_X.Borg,red_ban_Fredrinn,blue_ban_Harley,red_ban_Hanzo,blue_ban_Masha,red_ban_Minotaur,blue_ban_Chip,red_ban_Baxia,blue_ban_Angela,red_ban_Moskov,blue_pick_Yu Zhong,red_pick_Terizla,red_pick_Barats,blue_pick_Akai,blue_pick_Luo Yi,red_pick_Lylia,red_pick_Clint,blue_pick_Natan,blue_pick_Mathilda,red_pick_Rafaela",blue,1
ttIYcr9Hpp_0003_G2,"blue_ban_Fredrinn,red_ban_Masha,blue_ban_Hanzo,red_ban_Harley,blue_ban_Minotaur,red_ban_X.Borg,blue_ban_Natan,red_ban_Angela,blue_ban_Moskov,red_ban_Arlott,blue_pick_Minsitthar,red_pick_Yu Zhong,red_pick_Leomord,blue_pick_Akai,blue_pick_Luo Yi,red_pick_Faramis,red_pick_Karrie,blue_pick_Beatrix,blue_pick_Tigreal,red_pick_Mathilda",red,0
vMS1QAo7g2_0001_G1,"blue_ban_Luo Yi,red_ban_Chip,blue_ban_Roger,red_ban_Zhuxin,blue_ban_Moskov,red_ban_Angela,blue_ban_Harith,red_ban_Valentina,blue_ban_Arlott,red_ban_Chou,blue_pick_Terizla,red_pick_X.Borg,red_pick_Fanny,blue_pick_Ling,blue_pick_Aurora,red_pick_Zhask,red_pick_Ruby,blue_pick_Claude,blue_pick_Guinevere,red_pick_Hilda",red,0
vMS1QAo7g2_0001_G2,"blue_ban_Zhask,red_ban_Roger,blue_ban_Fanny,red_ban_Ling,blue_ban_Ruby,red_ban_Zhuxin,blue_ban_Minotaur,red_ban_Arlott,blue_ban_Lylia,red_ban_Luo Yi,blue_pick_Thamuz,red_pick_Terizla,red_pick_Nolan,blue_pick_Julian,blue_pick_Phoveus,red_pick_Aurora,red_pick_Moskov,blue_pick_Claude,blue_pick_Chip,red_pick_Edith",blue,1
vMS1QAo7g2_0002_G1,"blue_ban_Valentina,red_ban_Chip,blue_ban_Terizla,red_ban_Ling,blue_ban_Luo Yi,red_ban_Arlott,blue_ban_Minotaur,red_ban_Moskov,blue_ban_Edith,red_ban_Grock,blue_pick_Ruby,red_pick_Barats,red_pick_Fanny,blue_pick_Julian,blue_pick_Zhask,red_pick_Zhuxin,red_pick_Roger,blue_pick_Karrie,blue_pick_Chou,red_pick_Tigreal",blue,1
vMS1QAo7g2_0002_G2,"blue_ban_Luo Yi,red_ban_Chip,blue_ban_Terizla,red_ban_Ling,blue_ban_Valentina,red_ban_Zhask,blue_ban_Lylia,red_ban_Paquito,blue_ban_Arlott,red_ban_Masha,blue_pick_Edith,red_pick_Ruby,red_pick_Fanny,blue_pick_Julian,blue_pick_Zhuxin,red_pick_Novaria,red_pick_Claude,blue_pick_Moskov,blue_pick_Minotaur,red_pick_Grock",blue,1
vMS1QAo7g2_0003_G1,"blue_ban_Faramis,red_ban_Chip,blue_ban_Angela,red_ban_Zhuxin,blue_ban_Moskov,red_ban_Roger,blue_ban_Barats,red_ban_Chou,blue_ban_Valentina,red_ban_Grock,blue_pick_Terizla,red_pick_Arlott,red_pick_Fanny,blue_pick_Ling,blue_pick_Zhask,red_pick_Vexana,red_pick_Harith,blue_pick_Ruby,blue_pick_Khufra,red_pick_Minotaur",blue,1
vMS1QAo7g2_0003_G2,"blue_ban_Fanny,red_ban_Chip,blue_ban_Arlott,red_ban_Faramis,blue_ban_Ling,red_ban_Moskov,blue_ban_Hayabusa,red_ban_Barats,blue_ban_Nolan,red_ban_Tigreal,blue_pick_Ruby,red_pick_Terizla,red_pick_Roger,blue_pick_Julian,blue_pick_Zhuxin,red_pick_Zhask,red_pick_Harith,blue_pick_Claude,blue_pick_Grock,red_pick_Chou",red,0
vMS1QAo7g2_0004_G1,"blue_ban_Zhask,red_ban_Chip,blue_ban_Ruby,red_ban_Julian,blue_ban_Roger,red_ban_Zhuxin,blue_ban_Angela,red_ban_Barats,blue_ban_Chou,red_ban_Arlott,blue_pick_Uranus,red_pick_Terizla,red_pick_Ling,blue_pick_Fanny,blue_pick_Valentina,red_pick_Lunox,red_pick_Harith,blue_pick_Moskov,blue_pick_Minotaur,red_pick_Khufra",red,0
vMS1QAo7g2_0004_G2,"blue_ban_Julian,red_ban_Chip,blue_ban_Terizla,red_ban_Zhuxin,blue_ban_Zhask,red_ban_Ruby,blue_ban_Arlott,red_ban_Tigreal,blue_ban_Gloo,red_ban_Luo Yi,blue_pick_Barats,red_pick_X.Borg,red_pick_Hayabusa,blue_pick_Ling,blue_pick_Lunox,red_pick_Valentina,red_pick_Roger,blue_pick_Moskov,blue_pick_Khufra,red_pick_Chou",blue,1
vMS1QAo7g2_0005_G1,"blue_ban_Terizla,red_ban_Ling,blue_ban_Valentina,red_ban_Fanny,blue_ban_Chip,red_ban_Luo Yi,blue_ban_Aurora,red_ban_Moskov,blue_ban_Nolan,red_ban_Claude,blue_pick_Edith,red_pick_Arlott,red_pick_Roger,blue_pick_Julian,blue_pick_Zhask,red_pick_Novaria,red_pick_Natan,blue_pick_Karrie,blue_pick_Tigreal,red_pick_Ruby",blue,1
vMS1QAo7g2_0005_G2,"blue_ban_Roger,red_ban_Chip,blue_ban_Luo Yi,red_ban_Ling,blue_ban_Fanny,red_ban_Terizla,blue_ban_Pharsa,red_ban_Tigreal,blue_ban_Grock,red_ban_Minotaur,blue_pick_Benedetta,red_pick_Edith,red_pick_Julian,blue_pick_Alpha,blue_pick_Zhask,red_pick_Vexana,red_pick_Moskov,blue_pick_Karrie,blue_pick_Chou,red_pick_Ruby",red,0
vMS1QAo7g2_0006_G1,"blue_ban_Luo Yi,red_ban_Chip,blue_ban_Arlott,red_ban_Ling,blue_ban_Ruby,red_ban_Fanny,blue_ban_Lolita,red_ban_Hayabusa,blue_ban_Minotaur,red_ban_Bane,blue_pick_Hylos,red_pick_Terizla,red_pick_Akai,blue_pick_Julian,blue_pick_Faramis,red_pick_Zhask,red_pick_Claude,blue_pick_Moskov,blue_pick_Grock,red_pick_Edith",blue,1
vMS1QAo7g2_0006_G2,"blue_ban_Fanny,red_ban_Chip,blue_ban_Faramis,red_ban_Ruby,blue_ban_Angela,red_ban_Zhask,blue_ban_Barats,red_ban_Harith,blue_ban_Hayabusa,red_ban_Grock,blue_pick_Terizla,red_pick_Edith,red_pick_Julian,blue_pick_Ling,blue_pick_Valentina,red_pick_Zhuxin,red_pick_Roger,blue_pick_Moskov,blue_pick_Carmilla,red_pick_Minotaur",red,0
vMS1QAo7g2_0007_G1,"blue_ban_Roger,red_ban_Chip,blue_ban_Faramis,red_ban_Ling,blue_ban_Zhask,red_ban_Terizla,blue_ban_Luo Yi,red_ban_Hayabusa,red_ban_Fanny,blue_pick_Ruby,red_pick_Edith,red_pick_Julian,blue_pick_Alpha,blue_pick_Zhuxin,red_pick_Vexana,red_pick_Moskov,blue_pick_Harith,blue_pick_Minotaur,red_pick_Grock",blue,1
vMS1QAo7g2_0007_G2,"blue_ban_Arlott,red_ban_Chip,blue_ban_Ruby,red_ban_Roger,blue_ban_Zhask,red_ban_Zhuxin,blue_ban_Valentina,red_ban_Moskov,blue_ban_Luo Yi,red_ban_Edith,blue_pick_Hylos,red_pick_Terizla,red_pick_Fanny,blue_pick_Ling,blue_pick_Faramis,red_pick_Lylia,red_pick_Harith,blue_pick_Claude,blue_pick_Minotaur,red_pick_Hilda",red,0
vMS1QAo7g2_0008_G1,"blue_ban_Julian,red_ban_Chip,blue_ban_Zhask,red_ban_Ling,blue_ban_Zhuxin,red_ban_Roger,blue_ban_Ruby,red_ban_Alpha,blue_ban_Khufra,red_ban_Nolan,blue_pick_Terizla,red_pick_Arlott,red_pick_Fanny,blue_pick_Hayabusa,blue_pick_Valentina,red_pick_Vexana,red_pick_Moskov,blue_pick_Harith,blue_pick_Tigreal,red_pick_Chou",red,0
vMS1QAo7g2_0008_G2,"blue_ban_Roger,red_ban_Chip,blue_ban_Fanny,red_ban_Ling,blue_ban_Harith,red_ban_Arlott,blue_ban_Barats,red_ban_Faramis,blue_ban_Terizla,red_ban_Lolita,blue_pick_Ruby,red_pick_X.Borg,red_pick_Julian,blue_pick_Hayabusa,blue_pick_Vexana,red_pick_Zhask,red_pick_Karrie,blue_pick_Moskov,blue_pick_Grock,red_pick_Edith",red,0
vMS1QAo7g2_0008_G3,"blue_ban_Julian,red_ban_Chip,blue_ban_Arlott,red_ban_Ling,blue_ban_Fanny,red_ban_Nolan,blue_ban_Tigreal,red_ban_Terizla,blue_ban_Vexana,red_ban_Grock,blue_pick_X.Borg,red_pick_Edith,red_pick_Hayabusa,blue_pick_Alpha,blue_pick_Zhask,red_pick_Lylia,red_pick_Roger,blue_pick_Moskov,blue_pick_Khufra,red_pick_Ruby",blue,1
vMS1QAo7g2_0009_G1,"blue_ban_Faramis,red_ban_Luo Yi,blue_ban_Angela,red_ban_Ling,blue_ban_Chip,red_ban_Roger,blue_ban_Valentina,red_ban_Moskov,blue_ban_Chou,red_ban_Ruby,blue_pick_Edith,red_pick_Terizla,red_pick_Hayabusa,blue_pick_Fanny,blue_pick_Zhask,red_pick_Vexana,red_pick_Claude,blue_pick_Lunox,blue_pick_Grock,red_pick_Tigreal",blue,1
vMS1QAo7g2_0009_G2,"blue_ban_Zhask,red_ban_Chip,blue_ban_Luo Yi,red_ban_Zhuxin,blue_ban_Minotaur,red_ban_Angela,blue_ban_Tigreal,red_ban_Valentina,blue_ban_Grock,red_ban_Vexana,blue_pick_Yu Zhong,red_pick_Terizla,red_pick_Hayabusa,blue_pick_Ling,blue_pick_Aurora,red_pick_Faramis,red_pick_Moskov,blue_pick_Roger,blue_pick_Edith,red_pick_Ruby",red,0
vMS1QAo7g2_0010_G1,"blue_ban_Fanny,red_ban_Chip,blue_ban_Ling,red_ban_Zhuxin,blue_ban_Angela,red_ban_Zhask,blue_ban_Faramis,red_ban_Alpha,blue_ban_Barats,red_ban_Terizla,blue_pick_Edith,red_pick_Ruby,red_pick_Julian,blue_pick_Hayabusa,blue_pick_Valentina,red_pick_Aurora,red_pick_Moskov,blue_pick_Roger,blue_pick_Carmilla,red_pick_Minotaur",blue,1
vMS1QAo7g2_0010_G2,"blue_ban_Valentina,red_ban_Chip,blue_ban_Moskov,red_ban_Ling,blue_ban_Fanny,red_ban_Zhuxin,blue_ban_Alpha,red_ban_Harith,blue_ban_Minotaur,red_ban_Claude,blue_pick_Terizla,red_pick_Edith,red_pick_Julian,blue_pick_Hayabusa,blue_pick_Zhask,red_pick_Faramis,red_pick_Roger,blue_pick_Ruby,blue_pick_Arlott,red_pick_Carmilla",blue,1
vMS1QAo7g2_0010_G3,"blue_ban_Fanny,red_ban_Chip,blue_ban_Ling,red_ban_Zhuxin,blue_ban_Angela,red_ban_Zhask,blue_ban_Arlott,red_ban_Alpha,blue_ban_Faramis,red_ban_Minotaur,blue_pick_Barats,red_pick_Terizla,red_pick_Hayabusa,blue_pick_Julian,blue_pick_Valentina,red_pick_Vexana,red_pick_Harith,blue_pick_Moskov,blue_pick_Edith,red_pick_Khufra",red,0
vMS1QAo7g2_0011_G1,"blue_ban_Fanny,red_ban_Chip,blue_ban_Zhask,red_ban_Ling,blue_ban_Arlott,red_ban_Zhuxin,blue_ban_Ruby,red_ban_Minotaur,blue_ban_Luo Yi,red_ban_Hayabusa,blue_pick_Edith,red_pick_Lapu-Lapu,red_pick_Julian,blue_pick_Bane,blue_pick_Valentina,red_pick_Vexana,red_pick_Moskov,blue_pick_Roger,blue_pick_Lolita,red_pick_Chou",red,0
vMS1QAo7g2_0011_G2,"blue_ban_Valentina,red_ban_Chip,blue_ban_Minotaur,red_ban_Zhask,blue_ban_Fanny,red_ban_Ling,blue_ban_Vexana,red_ban_Moskov,blue_ban_Faramis,red_ban_Roger,blue_pick_Edith,red_pick_Arlott,red_pick_Hayabusa,blue_pick_Julian,blue_pick_Zhuxin,red_pick_Aurora,red_pick_Harith,blue_pick_Karrie,blue_pick_Khufra,red_pick_Grock",red,0
vMS1QAo7g2_0011_G3,"blue_ban_Arlott,red_ban_Chip,blue_ban_Fanny,red_ban_Ling,blue_ban_Zhask,red_ban_Zhuxin,blue_ban_Chou,red_ban_Aurora,blue_ban_Minotaur,red_ban_Vexana,blue_pick_Terizla,red_pick_Cici,red_pick_Julian,blue_pick_Baxia,blue_pick_Novaria,red_pick_Luo Yi,red_pick_Roger,blue_pick_Moskov,blue_pick_Lolita,red_pick_Ruby",red,0
vMS1QAo7g2_0012_G1,"blue_ban_Terizla,red_ban_Roger,blue_ban_Chip,red_ban_Luo Yi,blue_ban_Angela,red_ban_Fanny,blue_ban_Yu Zhong,red_ban_Ruby,blue_ban_Faramis,red_ban_Tigreal,blue_pick_Barats,red_pick_Arlott,red_pick_Ling,blue_pick_Julian,blue_pick_Zhask,red_pick_Aurora,red_pick_Moskov,blue_pick_Karrie,blue_pick_Edith,red_pick_Grock",blue,1
vMS1QAo7g2_0012_G2,"blue_ban_Terizla,red_ban_Chip,blue_ban_Fanny,red_ban_Ling,blue_ban_Zhask,red_ban_Zhuxin,blue_ban_Aurora,red_ban_Yu Zhong,blue_ban_Grock,red_ban_Harith,blue_pick_Edith,red_pick_Barats,red_pick_Julian,blue_pick_Nolan,blue_pick_Vexana,red_pick_Lylia,red_pick_Moskov,blue_pick_Roger,blue_pick_Khufra,red_pick_Ruby",blue,1
